,track_uri,artist_uri,genres
994,7wQB9MXmWvzrieBO481NW3,4kI8Ie27vjvonwaB2ePh8T,indie rock
994,7wQB9MXmWvzrieBO481NW3,4kI8Ie27vjvonwaB2ePh8T,modern alternative rock
994,7wQB9MXmWvzrieBO481NW3,4kI8Ie27vjvonwaB2ePh8T,modern rock
994,7wQB9MXmWvzrieBO481NW3,4kI8Ie27vjvonwaB2ePh8T,rock
995,3xdoqmAvDzO2h03Qzmfkai,5XQRfs0gXs30aWUn1Umves,alternative r&b
995,3xdoqmAvDzO2h03Qzmfkai,5XQRfs0gXs30aWUn1Umves,indie r&b
995,3xdoqmAvDzO2h03Qzmfkai,5XQRfs0gXs30aWUn1Umves,indie soul
996,1c2LdNIFXH6jQvpi5qq8sQ,1S0vL284jxZYKtZQ2jsQ2X,chamber psych
996,1c2LdNIFXH6jQvpi5qq8sQ,1S0vL284jxZYKtZQ2jsQ2X,chillwave
996,1c2LdNIFXH6jQvpi5qq8sQ,1S0vL284jxZYKtZQ2jsQ2X,dream pop
996,1c2LdNIFXH6jQvpi5qq8sQ,1S0vL284jxZYKtZQ2jsQ2X,experimental pop
