,track_uri,artist_uri,genres
938,1C8rYFLZu5QFSN6KV18Q4E,4U8RRuQqYoeXH2JuTr6QMM,
939,0fyO1QZ4wyGWW0Aa4q1oKR,0IB0VjX9NSrGX6PjCXGVcq,uk contemporary r&b
940,3dWNxcNW2N0mXTHoFQq2yI,0vIme0FGc4SmFByKiV27tw,experimental indie
940,3dWNxcNW2N0mXTHoFQq2yI,0vIme0FGc4SmFByKiV27tw,indie garage rock
941,3KsDbCgrRpC3fxSQnQ0Jqz,2ZKsAq380W6XWsyWyuKv3Z,grime
941,3KsDbCgrRpC3fxSQnQ0Jqz,2ZKsAq380W6XWsyWyuKv3Z,welsh hip hop
942,0hNhlwnzMLzZSlKGDCuHOo,56ZTgzPBDge0OvCGgMO3OY,baltimore indie
942,0hNhlwnzMLzZSlKGDCuHOo,56ZTgzPBDge0OvCGgMO3OY,dream pop
942,0hNhlwnzMLzZSlKGDCuHOo,56ZTgzPBDge0OvCGgMO3OY,dreamo
942,0hNhlwnzMLzZSlKGDCuHOo,56ZTgzPBDge0OvCGgMO3OY,modern dream pop
943,3oP3Tfn86FRmxAGsV0TqCp,3AA28KZvwAUcZuOKwyblJQ,alternative hip hop
944,5QvdRgkdlwcsvy3xcaBI1s,7AiamoV760pPGGM5PbOC6X,ambient
944,5QvdRgkdlwcsvy3xcaBI1s,7AiamoV760pPGGM5PbOC6X,braindance
944,5QvdRgkdlwcsvy3xcaBI1s,7AiamoV760pPGGM5PbOC6X,deep idm
944,5QvdRgkdlwcsvy3xcaBI1s,7AiamoV760pPGGM5PbOC6X,drill and bass
944,5QvdRgkdlwcsvy3xcaBI1s,7AiamoV760pPGGM5PbOC6X,electro
944,5QvdRgkdlwcsvy3xcaBI1s,7AiamoV760pPGGM5PbOC6X,electronica
944,5QvdRgkdlwcsvy3xcaBI1s,7AiamoV760pPGGM5PbOC6X,intelligent dance music
944,5QvdRgkdlwcsvy3xcaBI1s,7AiamoV760pPGGM5PbOC6X,microhouse
944,5QvdRgkdlwcsvy3xcaBI1s,7AiamoV760pPGGM5PbOC6X,trip hop
944,5QvdRgkdlwcsvy3xcaBI1s,7AiamoV760pPGGM5PbOC6X,uk bass
944,5QvdRgkdlwcsvy3xcaBI1s,7AiamoV760pPGGM5PbOC6X,uk experimental electronic
945,0ZS1FcKl78yamMT6VHn7WD,2TLYSzGyVYkxAgYSCqUnQj,indie soul
945,0ZS1FcKl78yamMT6VHn7WD,2TLYSzGyVYkxAgYSCqUnQj,underground hip hop
946,41BpX2ole6fiZWXIlNCdN5,4OOlG5eBXSkSAAEeKjJb5Y,australian indie
946,41BpX2ole6fiZWXIlNCdN5,4OOlG5eBXSkSAAEeKjJb5Y,indie pop
946,41BpX2ole6fiZWXIlNCdN5,4OOlG5eBXSkSAAEeKjJb5Y,indie rock
946,41BpX2ole6fiZWXIlNCdN5,4OOlG5eBXSkSAAEeKjJb5Y,melbourne indie
947,0ndyG1rJrLpKoveXWYIcX1,3hX6r5wmeKPMMsBfKH0Ope,
948,0BxW25MAj5gDddizKZZPgv,2oofDquWt9tMCETKAHmhlG,indie jazz
948,0BxW25MAj5gDddizKZZPgv,2oofDquWt9tMCETKAHmhlG,indie soul
949,5UgOIGZoFxgIVVXXfxg3M6,1wlzPS1hSNrkriIIwLFTmU,alternative hip hop
949,5UgOIGZoFxgIVVXXfxg3M6,1wlzPS1hSNrkriIIwLFTmU,boom bap
949,5UgOIGZoFxgIVVXXfxg3M6,1wlzPS1hSNrkriIIwLFTmU,underground hip hop
950,1Wbi9YbcqrkhmKuN5lEDby,1PfjnYWKVkAunVbqyN7Ug7,
951,5gLdL7v1v2IFs8PBsYGMeD,5UqTO8smerMvxHYA5xsXb6,alternative rock
951,5gLdL7v1v2IFs8PBsYGMeD,5UqTO8smerMvxHYA5xsXb6,art rock
951,5gLdL7v1v2IFs8PBsYGMeD,5UqTO8smerMvxHYA5xsXb6,indie rock
951,5gLdL7v1v2IFs8PBsYGMeD,5UqTO8smerMvxHYA5xsXb6,noise pop
951,5gLdL7v1v2IFs8PBsYGMeD,5UqTO8smerMvxHYA5xsXb6,noise rock
951,5gLdL7v1v2IFs8PBsYGMeD,5UqTO8smerMvxHYA5xsXb6,post-punk
951,5gLdL7v1v2IFs8PBsYGMeD,5UqTO8smerMvxHYA5xsXb6,rock
952,51UdJHUw4C6dtLf91ue6dM,7vRJDtEvLW2MZ4ISs1Zddy,
953,09yvhbQfvFVZMmw3qOQUvO,3xZBpeXHkSjTKQIR1OeKN0,chamber pop
953,09yvhbQfvFVZMmw3qOQUvO,3xZBpeXHkSjTKQIR1OeKN0,chamber psych
953,09yvhbQfvFVZMmw3qOQUvO,3xZBpeXHkSjTKQIR1OeKN0,dream pop
953,09yvhbQfvFVZMmw3qOQUvO,3xZBpeXHkSjTKQIR1OeKN0,indie rock
953,09yvhbQfvFVZMmw3qOQUvO,3xZBpeXHkSjTKQIR1OeKN0,melancholia
953,09yvhbQfvFVZMmw3qOQUvO,3xZBpeXHkSjTKQIR1OeKN0,twee pop
954,1s869ogzGXpXP92mb0Yh4c,1ououJVWgWsHWMYDLvT7sH,australian indie
954,1s869ogzGXpXP92mb0Yh4c,1ououJVWgWsHWMYDLvT7sH,australian pop
954,1s869ogzGXpXP92mb0Yh4c,1ououJVWgWsHWMYDLvT7sH,brisbane indie
955,7w0YG5qn9w8LYA4tHpQe0o,3nf2EaHj8HikLNdaiW3v73,alternative hip hop
955,7w0YG5qn9w8LYA4tHpQe0o,3nf2EaHj8HikLNdaiW3v73,conscious hip hop
955,7w0YG5qn9w8LYA4tHpQe0o,3nf2EaHj8HikLNdaiW3v73,escape room
955,7w0YG5qn9w8LYA4tHpQe0o,3nf2EaHj8HikLNdaiW3v73,rap
955,7w0YG5qn9w8LYA4tHpQe0o,3nf2EaHj8HikLNdaiW3v73,underground hip hop
956,1nM3RlyQrIPwKT50jGbni0,6zFYqv1mOsgBRQbae3JJ9e,classic rock
956,1nM3RlyQrIPwKT50jGbni0,6zFYqv1mOsgBRQbae3JJ9e,folk rock
956,1nM3RlyQrIPwKT50jGbni0,6zFYqv1mOsgBRQbae3JJ9e,mellow gold
956,1nM3RlyQrIPwKT50jGbni0,6zFYqv1mOsgBRQbae3JJ9e,piano rock
956,1nM3RlyQrIPwKT50jGbni0,6zFYqv1mOsgBRQbae3JJ9e,rock
956,1nM3RlyQrIPwKT50jGbni0,6zFYqv1mOsgBRQbae3JJ9e,singer-songwriter
956,1nM3RlyQrIPwKT50jGbni0,6zFYqv1mOsgBRQbae3JJ9e,soft rock
957,1YrjVhvMCrDMotSgl9eBp6,13VynrBSvRLrAX5YqdD1vl,experimental electronic
958,26FqV9paC1RM6hm0JyLvSY,6I3MElirhT5t6Kf7p0hGk9,alternative r&b
958,26FqV9paC1RM6hm0JyLvSY,6I3MElirhT5t6Kf7p0hGk9,escape room
958,26FqV9paC1RM6hm0JyLvSY,6I3MElirhT5t6Kf7p0hGk9,indie r&b
958,26FqV9paC1RM6hm0JyLvSY,6I3MElirhT5t6Kf7p0hGk9,underground hip hop
958,26FqV9paC1RM6hm0JyLvSY,6I3MElirhT5t6Kf7p0hGk9,viral rap
959,7dXyQvTkoiNVtsXAgFTXmL,4wyNyxs74Ux8UIDopNjIai,uk alternative pop
960,3lwGMYlau8vrVKtRuGU47e,39Sc043Mg5uqta8dxvCrui,minneapolis indie
961,2DOVA6iiwKiBOVAvwJQJBL,2Yr4mLL9uy4kQhz5ISdCYK,folkmusik
961,2DOVA6iiwKiBOVAvwJQJBL,2Yr4mLL9uy4kQhz5ISdCYK,nordic folk
961,2DOVA6iiwKiBOVAvwJQJBL,2Yr4mLL9uy4kQhz5ISdCYK,swedish fiddle
962,01Lr5YepbgjXAWR9iOEyH1,15iVAtD3s3FsQR4w1v6M0P,chicago bop
962,01Lr5YepbgjXAWR9iOEyH1,15iVAtD3s3FsQR4w1v6M0P,chicago drill
962,01Lr5YepbgjXAWR9iOEyH1,15iVAtD3s3FsQR4w1v6M0P,chicago rap
962,01Lr5YepbgjXAWR9iOEyH1,15iVAtD3s3FsQR4w1v6M0P,drill
962,01Lr5YepbgjXAWR9iOEyH1,15iVAtD3s3FsQR4w1v6M0P,hip hop
962,01Lr5YepbgjXAWR9iOEyH1,15iVAtD3s3FsQR4w1v6M0P,rap
962,01Lr5YepbgjXAWR9iOEyH1,15iVAtD3s3FsQR4w1v6M0P,southern hip hop
962,01Lr5YepbgjXAWR9iOEyH1,15iVAtD3s3FsQR4w1v6M0P,trap
962,01Lr5YepbgjXAWR9iOEyH1,15iVAtD3s3FsQR4w1v6M0P,underground hip hop
962,01Lr5YepbgjXAWR9iOEyH1,15iVAtD3s3FsQR4w1v6M0P,viral rap
