track_name,artist_name,album_name,release_date,length,popularity,id,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature
Miss The Days,SBTRKT,Miss The Days,2022-07-25,220650,2,4TdBkfjotcNZWAGI2xgxh9,0.148,0.522,0.934,0.517,1,0.0447,-3.334,0,0.0631,175.293,4
Turning You On,Never Dull,"VA Compilation, Vol. 2",2018-08-22,405245,0,0CgQOzaA7J99vQpdjIcaLS,0.00911,0.794,0.784,0.713,4,0.0892,-8.079,0,0.0802,120.014,4
Otis,JAY-Z,Watch The Throne (Deluxe),2011-08-08,178213,69,6vegnfDS8DAEaCqWaPYGPy,0.552,0.754,0.631,0.0,7,0.5,-4.751,0,0.307,94.577,4
Matilda,Harry Styles,Harry's House,2022-05-20,245964,80,6uvh0In7u1Xn4HgxOfAn8O,0.896,0.507,0.294,1.97e-05,2,0.0966,-10.0,1,0.04,114.199,4
Quarterback,Wallows,Quarterback,2021-02-15,180386,60,2OwIGCjx7e7J1HHdAqIv21,0.0135,0.689,0.719,1.64e-06,11,0.107,-3.883,1,0.031,121.008,4
Cinema,Harry Styles,Harry's House,2022-05-20,243507,75,35TyJIMR3xRouUuo2sjS6v,0.354,0.829,0.644,0.0511,9,0.0944,-7.696,0,0.0427,105.993,4
Droppin Jewels,Young Thug,Punk,2021-10-15,218596,51,3q8Uyfo98yoEqByamJOIkJ,0.489,0.575,0.523,0.0,2,0.0873,-10.002,0,0.506,78.252,4
United In Grief,Kendrick Lamar,Mr. Morale & The Big Steppers,2022-05-13,255377,3,05zd5Nv0e02ZqrlC8A2cwx,0.244,0.529,0.845,0.0,8,0.143,-8.142,1,0.404,85.63,3
N95,Kendrick Lamar,Mr. Morale & The Big Steppers,2022-05-13,195950,26,2FeBslNBMdR9V58uv6hd2t,0.377,0.79,0.67,2.32e-06,1,0.119,-5.527,1,0.105,139.956,4
Worldwide Steppers,Kendrick Lamar,Mr. Morale & The Big Steppers,2022-05-13,203367,2,5p56JT5F9a1z9pwXnqTg7d,0.753,0.514,0.472,0.00012,8,0.0746,-11.106,0,0.368,77.215,3
Die Hard,Kendrick Lamar,Mr. Morale & The Big Steppers,2022-05-13,239026,3,6gI9b2VsoWhjhIuIeToDVs,0.319,0.775,0.736,0.00116,1,0.127,-8.072,0,0.247,100.988,4
Father Time (feat. Sampha),Kendrick Lamar,Mr. Morale & The Big Steppers,2022-05-13,222497,6,4xIhSUJantE6BMl3u8dtCJ,0.181,0.514,0.779,0.0,10,0.099,-4.365,0,0.344,152.869,4
Rich - Interlude,Kendrick Lamar,Mr. Morale & The Big Steppers,2022-05-13,103319,1,2Az5ykbQiZtFWtACCMvWlP,0.864,0.481,0.406,0.000315,7,0.0869,-11.52,1,0.0775,91.589,4
Rich Spirit,Kendrick Lamar,Mr. Morale & The Big Steppers,2022-05-13,202285,6,6kYGOFNUMxpab09L5Ukoke,0.428,0.852,0.421,2.28e-06,10,0.106,-9.153,0,0.208,95.977,4
We Cry Together,Kendrick Lamar,Mr. Morale & The Big Steppers,2022-05-13,341307,2,0RAvy97QRPzO2AfK5Dw6j3,0.292,0.648,0.68,0.0,11,0.0808,-7.276,1,0.345,106.89,3
Purple Hearts,Kendrick Lamar,Mr. Morale & The Big Steppers,2022-05-13,329295,2,401160izncPtca3CmX3dvM,0.167,0.567,0.824,2.65e-06,3,0.149,-6.973,0,0.296,138.202,4
Count Me Out,Kendrick Lamar,Mr. Morale & The Big Steppers,2022-05-13,283642,1,7pj6P5WnxkZsw3XRc8eMe1,0.671,0.776,0.431,0.0,4,0.153,-7.544,0,0.091,133.999,4
Crown,Kendrick Lamar,Mr. Morale & The Big Steppers,2022-05-13,264299,1,2IwbW2jd0Ncv99Aroe77Ru,0.801,0.355,0.245,9.11e-05,1,0.112,-13.475,0,0.0358,173.329,4
Silent Hill,Kendrick Lamar,Mr. Morale & The Big Steppers,2022-05-13,220779,2,3tYTyAt1q6BFBiGyYVOLhi,0.438,0.907,0.577,3.19e-05,1,0.137,-6.737,0,0.0767,140.07,4
Savior - Interlude,Kendrick Lamar,Mr. Morale & The Big Steppers,2022-05-13,152985,1,5PPUw4Xo3Hz6rl4GpBfd3c,0.807,0.618,0.43,0.0,5,0.189,-9.38,0,0.216,117.125,4
Savior,Kendrick Lamar,Mr. Morale & The Big Steppers,2022-05-13,224466,2,0YeUVm23SAkUruwEx9LWnt,0.495,0.605,0.692,0.0,8,0.303,-7.45,1,0.446,124.84,5
Auntie Diaries,Kendrick Lamar,Mr. Morale & The Big Steppers,2022-05-13,281069,1,19Fg3WrTfo35Ji3PtfZE6J,0.745,0.52,0.375,0.0122,0,0.429,-13.409,1,0.358,127.544,5
Mr. Morale,Kendrick Lamar,Mr. Morale & The Big Steppers,2022-05-13,210841,1,7zvfDihYiJ8RQ1nRcpKBF5,0.283,0.727,0.53,2.76e-05,9,0.392,-8.616,1,0.312,174.025,3
Mother I Sober (feat. Beth Gibbons of Portishead),Kendrick Lamar,Mr. Morale & The Big Steppers,2022-05-13,406528,1,6NZOc8kO0Fxo0fLPvIdLnW,0.87,0.492,0.369,2.85e-05,8,0.11,-14.861,0,0.329,140.012,4
Mirror,Kendrick Lamar,Mr. Morale & The Big Steppers,2022-05-13,256006,1,5LOiuvbH62YGtnwe6Ltt4T,0.225,0.652,0.67,1.4e-05,2,0.0804,-8.766,1,0.0639,91.933,4
It Wasn't Us (feat. I-20),Ludacris,The Neptunes Present... Clones,2003-08-19,214093,25,078M9EJ208U6CXhpC50u4T,0.00407,0.886,0.603,0.0,11,0.159,-5.59,0,0.191,125.734,4
minds of men,FKA twigs,CAPRISONGS,2022-01-14,204533,42,6rjnUkLj645A70RfJnCnPI,0.798,0.627,0.519,0.00183,11,0.102,-9.349,0,0.289,130.789,4
ALMOST BLUE,L U C Y,Primary,2018-06-18,174857,33,5bMwyygKVzlRN4AWx76H5F,0.381,0.762,0.549,0.00514,11,0.449,-9.909,0,0.17,100.088,4
Magazine,Toro y Moi,MAHAL,2022-04-29,191525,40,0HFy9wgmuePUSfwmjqhA6Y,0.291,0.629,0.763,6.01e-05,7,0.106,-6.796,0,0.127,120.194,4
Soup for One,CHIC,"Dance, Dance, Dance: The Best of Chic",1991,335066,49,2Rr4ZOnKXUrzjhMPkmkRjK,0.212,0.823,0.51,0.806,0,0.11,-11.235,1,0.0352,114.83,4
oh my love,FKA twigs,CAPRISONGS,2022-01-14,225653,56,5dEJc0rHuTVxtl1xljDbRv,0.532,0.907,0.592,0.0,8,0.289,-6.44,0,0.0858,108.052,4
Talk About,Les Sins,Michael,2014-11-04,234640,37,0ZdTaHYdo7szPB71jkTDbW,0.0152,0.813,0.83,0.36,10,0.0899,-5.766,0,0.0823,124.998,4
Marceline,WILLOW,ARDIPITHECUS,2015-01-11,136760,55,0RCpze7hmowZIGUJs9Dm7w,0.252,0.686,0.45,9.7e-05,9,0.101,-6.848,1,0.102,129.761,4
Run Shannon Run,BBY GOYARD,Run Shannon Run,2018-10-26,120422,47,0Y5hDJTidQ5DsqJoH3QIHj,0.0158,0.673,0.558,0.0564,2,0.298,-7.62,1,0.299,87.949,4
Melancholia I,William Basinski,Melancholia,2003-01-17,205133,35,6mO6BqqwxzdzofedxrixBA,0.99,0.408,0.0456,0.817,4,0.0839,-27.931,1,0.048,79.745,5
Histoire d'1 soir (Bye bye les galères) - Version originale 1983,Bibi Flash,Best of Bibi Flash Collector (Le meilleur des années 80),2011-01-01,276642,44,5JAGMln9Bd4xrHkjS4jMf2,0.152,0.774,0.834,0.0,2,0.103,-5.456,1,0.143,114.738,4
Ethio Invention no. 1,Andrew Bird,I Want to See Pulaski at Night,2013-11-12,406333,31,6Cg5DjQZAObfBYQRuVzFGi,0.963,0.508,0.37,0.899,0,0.223,-10.011,1,0.0332,102.921,1
Ha Le Se Le Li Khanna,Hugh Masekela,Pure Sounds of Africa,2015-04-24,265906,9,59qLyKL50MMYGV3pH3L830,0.343,0.685,0.917,0.0,3,0.195,-4.438,1,0.0527,127.986,4
Neo Surf,GENER8ION,Neo Surf,2021-10-22,200133,49,6XmT8fIEfcS3ZSVEz00U7m,0.408,0.639,0.62,4.13e-05,2,0.257,-7.054,1,0.0291,106.512,3
Til Next Time Love,Larry June,Adjust To The Game,2020-03-04,174387,45,0dBeQtZsHhCcTIPrcKETfM,0.0486,0.537,0.711,6.39e-06,8,0.0828,-7.669,0,0.546,151.064,4
Good Stuff,Kelis,Kaleidoscope,1999-12-07,232385,38,0mWi3EKhPDl42DL5LaHX38,0.00127,0.847,0.435,0.000386,1,0.0332,-6.732,1,0.0467,97.976,4
Nobody,Hamdi,Summer Fruits,2021-08-27,256000,16,7JjcdwPc4oYf7IM8oJJFA4,0.0214,0.598,0.559,0.357,1,0.112,-6.409,1,0.0469,135.14,4
Kissing Lessons,Lucy Dacus,Kissing Lessons,2022-02-02,114653,55,3KRdLDjxlAY7ku93tOG0b1,0.000909,0.546,0.866,0.0147,1,0.16,-7.073,1,0.0576,140.014,4
Night Shift,Lucy Dacus,Historian,2018-03-02,391829,63,1yYlpGuBiRRf33e1gY61bN,0.313,0.48,0.311,1.52e-05,9,0.113,-7.887,1,0.0258,86.15,4
Oh Boy,Cam’ron,Come Home With Me,2002-01-01,204706,65,4gdQ8QShlC3toP9Mkc8DwB,0.0216,0.754,0.767,0.0,6,0.172,-5.586,1,0.145,83.014,4
More Fire,Jacky Murda,21 Murda Shots,2011,260622,0,3KVWLPDC15GnXqX7NoFHpT,0.224,0.769,0.754,0.0,10,0.552,-5.514,1,0.0924,177.865,4
Skanka,Hamdi,Skanka,2021-12-15,221147,48,3M2l5Rh3qLjHzgVEWbyAbZ,0.146,0.53,0.708,1.36e-05,2,0.116,-5.592,1,0.435,173.381,5
Right Down the Line,Gerry Rafferty,City to City,1978,267773,71,2Xb6wJYGi0QXwURw5WWvI5,0.213,0.783,0.322,0.00243,0,0.114,-15.091,1,0.0343,128.226,4
Amandla's Interlude,Steve Lacy,Apollo XXI,2019-05-24,190511,3,66nc8Tv8zeo4N9ZSoG3kPI,0.917,0.182,0.249,0.924,0,0.306,-11.835,1,0.0395,203.461,3
Indica (feat. Motte),Land of Peace,Indica (feat. Motte),2019-10-07,194909,0,4lZTygIDDA87R9TWyJxXEc,0.408,0.618,0.71,0.387,8,0.401,-6.685,0,0.0284,97.969,4
seaside_demo,SEB,seaside_demo,2021-05-17,132000,66,1SgUjGzbmmMOsGFTVwQ59L,0.355,0.706,0.824,0.000133,0,0.111,-7.959,1,0.0694,94.98,4
Stand by Me,Ben E. King,Don't Play That Song (Mono),1962-08-20,180055,77,3SdTKo2uVsxFblQjpScoHy,0.57,0.65,0.306,7.07e-06,9,0.0707,-9.443,1,0.0393,118.068,4
My Lovin' (You're Never Gonna Get It),En Vogue,Funky Divas,1992-03-24,281613,55,3R97rNX7JnmshCWBwOSFet,0.0318,0.767,0.839,9.31e-06,8,0.111,-5.519,1,0.0613,98.055,4
"Holding Out for a Hero - From ""Footloose"" Soundtrack",Bonnie Tyler,Secret Dreams and Forbidden Fire,1986-05-05,348333,71,5Hyr47BBGpvOfcykSCcaw9,0.0245,0.616,0.685,1.13e-05,9,0.0491,-15.289,0,0.04,150.055,4
Love Will Keep Us Together,Captain & Tennille,Love Will Keep Us Together,1975-01-01,205493,60,4pCNJwixy2ImFncaPY2yE2,0.354,0.621,0.788,0.0,4,0.305,-4.326,1,0.0314,129.62,4
I'll Be There For You/You're All I Need To Get By - Puff Daddy Mix,Method Man,Tical (Deluxe Edition),2014-09-16,309946,58,6C3yPXYG2NJYlIYVe5J7hv,0.151,0.722,0.745,6.26e-06,4,0.337,-6.059,0,0.0536,95.021,4
Don't Be Cruel,Billy Swan,I Can Help,1974-08-01,251920,48,0ynmh87cJ8HvBWFOooBrz6,0.689,0.612,0.309,0.00342,4,0.0991,-12.312,1,0.0374,118.129,4
Try a Little Tenderness,Otis Redding,Complete & Unbelievable: The Otis Redding Dictionary of Soul,1966-10-15,201733,61,36AlMHDBFwSsD3FQOy1R81,0.186,0.587,0.133,2.26e-05,9,0.258,-15.151,0,0.0565,102.938,4
Gotta Have It,JAY-Z,Watch The Throne (Deluxe),2011-08-08,140746,69,5Pt83OUaK3K9C2if4C5JOk,0.411,0.74,0.574,0.0,4,0.262,-6.938,1,0.245,149.762,4
Spacer Woman - Original Version,Charlie,Spacer,2007,442626,39,70bVL8A7laNCj48wn8Q4BL,0.000116,0.752,0.905,0.763,1,0.0806,-9.54,0,0.0467,123.02,4
Puppets (Succession Remix),Pusha T,Puppets (Succession Remix),2019-10-11,137520,38,7vAkKCODYbpF2b6brNLzqo,0.00287,0.523,0.647,0.000327,1,0.344,-6.385,1,0.253,139.72,4
Since I Left You,The Avalanches,Since I Left You (20th Anniversary Deluxe Edition),2000-11-27,262840,53,1AAYbsAIgEJMbxgLgpjE9y,0.226,0.518,0.912,0.0,7,0.726,-7.275,1,0.0573,102.778,4
Be Thankful For What You Got,Love,Reel To Real,1974,273400,44,73IrmhGaqTEWOEOnhhbFpL,0.63,0.678,0.592,0.0436,11,0.0543,-11.678,0,0.199,99.293,4
Shuggie,Foxygen,We Are the 21st Century Ambassadors of Peace & Magic,2013-01-22,201706,54,6RgrpOgbTI3M2qvA8XIvTb,0.101,0.467,0.645,0.00515,1,0.144,-7.614,0,0.0365,127.468,3
Temptation Sensation (Main Title),Heinz Kiessling,It's Always Sunny In Philadelphia (Music from the Original FX Series),2010-09-01,172757,34,6RK0oFMDxPsxcm6tgxy6kg,0.74,0.357,0.464,0.519,9,0.145,-8.234,1,0.03,96.46,3
Devil Town,Cavetown,Cavetown,2015-11-09,179955,74,0vf2eBw2inhl8y61cYQMv2,0.12,0.576,0.759,0.0,3,0.121,-8.165,1,0.0599,99.969,4
This Time Around,Jessica Pratt,Quiet Signs,2019-02-08,217360,35,4d91J2qoa4VW1IapAP5ZBA,0.939,0.424,0.0977,0.0,11,0.109,-13.594,1,0.0512,132.08,5
Midnight in Harlem,Tedeschi Trucks Band,Revelator,2011-06-03,352666,55,1ncSAZD0bzvU3cu0uPLbWd,0.35,0.447,0.557,0.0145,9,0.11,-9.92,1,0.035,152.058,4
Venasque,Ian Pooley,Since Then. 2017,2017-11-17,274080,43,20XyCtN4HMiL1BsvXyengf,0.0292,0.756,0.761,0.686,10,0.881,-9.043,0,0.0961,96.692,4
You're Still the One,Andres,Out in the Open,2002-04-29,388853,33,6aSI5qgrJU9gsjUTfXlx5q,0.379,0.79,0.665,0.875,9,0.164,-6.315,1,0.116,120.014,4
By This River,You'll Never Get to Heaven,Adorn,2014-08-04,225757,17,6QO7T09kZyywqa585wUHlW,0.91,0.432,0.326,0.254,7,0.368,-10.254,0,0.0278,66.117,3
"Little Lou, Ugly Jack, Prophet John",Belle and Sebastian,Write About Love,2010-10-12,273973,0,0YFRBmUC8y5OOl4LHH8JFy,0.453,0.555,0.395,1e-06,3,0.158,-10.507,1,0.0342,146.661,4
first order of business,Baby Keem,The Melodic Blue,2021-09-10,168758,59,4d6z0mKVcnhE5x0YWvTexh,0.0605,0.963,0.309,1.9e-05,6,0.108,-8.456,0,0.315,132.04,4
Cool Out Son,Junior Murvin,Reggae Anthology: Joe Gibbs - Scorchers From The Mighty Two,2009-03-30,197933,35,3yVQkZeKZWZnu1aObNNvey,0.00526,0.866,0.458,0.00974,3,0.0698,-8.434,1,0.201,74.534,4
Midnight City,M83,"Hurry Up, We're Dreaming",2011,241440,68,1eyzqe2QqGZUmfcPZtrIyt,0.0161,0.526,0.712,0.0,11,0.179,-6.525,0,0.0356,105.009,4
Fukashigi No Carte (Bunny Girl Senpai LoFi) - Remix,TouchTone Da SoundGawd,Fukashigi No Carte (Bunny Girl Senpai LoFi) [Remix],2020-09-18,200506,31,33J02YNdUHbrnkCZw7meoy,0.463,0.64,0.494,0.0237,4,0.422,-11.037,0,0.042,78.97,4
Witches,Alice Phoebe Lou,Witches,2020-03-13,195078,7,4CZgaNdobtnTfBevPBje0c,0.0301,0.576,0.719,4.78e-06,8,0.116,-5.749,1,0.0583,73.122,4
"Lord, Make Me A Channel Of Your Peace",His Name Is Alive,Mouth By Mouth,1993-04-13,139960,13,55jMWY0YXauvhCyEKgTNbK,0.0203,0.669,0.426,0.371,4,0.216,-15.171,1,0.0331,134.233,4
Spin Spin Sugar - Armand's Dark Garage Mix,Sneaker Pimps,Becoming Remixed,1998-03-10,543466,38,2nGICSgZtRkfvuvDgmVVVz,0.00283,0.737,0.959,0.309,0,0.373,-4.812,1,0.0762,129.012,4
Hopes for Jokes - Arkajo Remix,Pola,Le Petit Panka,2018-04-24,348618,13,0P6MKa24rQYZdwmPFAmyzo,0.00934,0.806,0.59,0.934,11,0.0865,-11.208,0,0.0574,124.996,4
One More Snooze,Hiver,Soundescence - EP,2016-11-11,392653,14,0iQCfaQ6BxaHhWHtFvbRD4,0.049,0.738,0.649,0.908,9,0.172,-10.796,0,0.044,128.983,4
Thursday,Asobi Seksu,Citrus,2007,257173,36,6MC9eyZJiicT4tT2YOqf5d,0.000117,0.359,0.721,0.615,2,0.151,-5.233,1,0.0362,147.438,4
It Hurts Until It Doesn't,Mothers,When You Walk A Long Distance You Are Tired,2016-02-26,333514,37,6h3FOkiOixsUUEgIHS0qR5,0.197,0.497,0.541,0.189,2,0.183,-7.22,1,0.033,122.581,4
Always Saucy (with Ski Mask The Slump God & TrippythaKid),Yung Gravy,Gasanova,2020-10-02,192199,55,1Q70eaVbwHkiV5a3NIBXW2,0.276,0.806,0.578,0.0,4,0.518,-8.184,0,0.152,127.888,4
Don't Rush (feat. Headie One),Young T & Bugsey,Don't Rush (feat. Headie One),2019-11-07,207640,60,0PXukVbYpvz40KcEFKnIw7,0.202,0.961,0.461,0.00402,9,0.162,-8.684,1,0.27,108.028,4
Male Pill Part 13,Squarepusher,Hard Normal Daddy,1997-04-28,518106,7,7cBRhoivHjQ8NTEE5jhkcq,0.177,0.543,0.953,0.92,1,0.144,-9.746,0,0.0527,163.349,4
Andrei,Squarepusher,Ultravisitor,2004,120320,7,6QsA4nB0q6hZsDtaGUNBMP,0.991,0.28,0.0523,0.947,5,0.11,-27.766,1,0.0488,74.898,4
Philip Steak,µ-Ziq,Philip Steak,2021-10-21,191794,2,5QvdRgkdlwcsvy3xcaBI1s,0.0548,0.379,0.775,0.874,5,0.119,-12.274,0,0.0472,108.625,4
Fuck Toronto Jungle,Vsnares,2370894,2002-07-29,311360,4,6brJFavyC0WKW9K6ZVasQ0,0.109,0.641,0.996,0.608,6,0.074,-3.269,1,0.203,109.847,1
Mr.Brightside (Tommytohotty),POLO PERKS <3 <3 <3,PUNK GOES DRILL+** HOSTED BY SHOKURADIO,2021-03-05,86000,33,6xWpIGOjRSE9Y5vw8Mu1af,0.0013,0.582,0.504,7.91e-06,2,0.312,-10.827,1,0.0773,139.091,4
Sunset on Flyover Country,Slender Dan,Sunset on Flyover Country,2019-11-04,290420,0,3DwJ1EY1v3TIYObpkfthts,0.635,0.954,0.395,0.692,1,0.102,-9.998,1,0.209,118.997,4
Pissy Pamper (Cuttmixx),Cutthroat Mafia,"Talez of the Undead, Vol. 1",2020-06-13,158282,47,0JAhPEoONQL73kx2aLNHh9,0.15,0.662,0.631,8.76e-05,2,0.242,-8.256,1,0.429,163.07,4
20th Century Jungle,Deformer,15 Years Of PRSPCT,2017-11-10,254432,15,1YyDj7ogUqWeXAxZwJ1Gke,0.000379,0.263,0.989,0.734,6,0.779,-1.314,0,0.154,170.006,4
Lovin U,Coco Bryce,Falling In Love,2018-04-11,308000,31,5NS2mvyyimFo4GStYcjrL1,0.0156,0.616,0.911,0.42,1,0.105,-10.969,0,0.0753,160.007,4
Eye Feel - Dance System Remix,Shadow Child,Return Of The MASC EP,2020-02-07,326054,4,1m2sAgVWr8TtTmjAOcoR6Y,4.12e-05,0.455,0.884,0.928,11,0.103,-5.751,0,0.0766,136.003,4
Have You Seen Mr G?,Shadow Child,Have You Seen Mr G?,2021-01-08,317182,2,2RcA5LR7n0Vovot1sPYbfO,3.01e-05,0.573,0.886,0.847,8,0.134,-5.67,1,0.0367,127.99,4
23 - Kry Wolf VIP,Shadow Child,23 VIP,2013-07-07,360000,4,60pOTatw29induPVA4I7B9,0.00142,0.826,0.79,0.729,8,0.0438,-6.563,1,0.0799,124.004,4
23 - Zinc VIP,Shadow Child,23 VIP,2013-07-07,288145,20,2ZoQLsWvK8hOZ2JXVvdyDb,0.0521,0.89,0.823,0.904,0,0.332,-4.44,1,0.0585,123.993,4
Ooh Tune - Coco Bryce Drops A Beat Remix,Shadow Child,Ooh Tune Remixes,2017-11-10,295680,0,0s5T67nIzwbG7BQ2f3o1Xd,0.0234,0.64,0.992,0.577,1,0.142,-7.23,0,0.0834,159.996,4
All Potential Badboy - TMSV Remix,Mani Festo,To the Core,2018-11-26,290500,3,403aRSfxdHrNJ0O8vujhTX,0.00118,0.631,0.773,0.676,5,0.0961,-8.235,0,0.0344,137.971,4
All Potential Badboy,Mani Festo,To the Core,2018-11-26,339010,4,3GBJPi56O6NgKRc4CkQ4Ss,0.0419,0.708,0.869,0.809,10,0.0876,-5.799,0,0.0481,137.975,4
Who Started Jungle - Coco Bryce Remix,Denham Audio,To the Core,2018-11-26,365997,8,56ArQWvyUn7lOsGCj1VOUx,0.000908,0.614,0.782,0.497,6,0.262,-10.255,0,0.0659,159.014,4
Woogie On,Kenlo Craqnuques,Wheels EP,2016-11-28,303511,0,4pTThuVjGk1B7JqTRVUv2u,0.00749,0.969,0.717,0.203,6,0.135,-3.305,0,0.282,123.976,4
Manic Stampede,Krome and Time,This Sound Is For The Underground,1992,342470,0,1oEKxNbLKJTvFLwGbGmrPk,0.000958,0.717,0.754,0.535,3,0.328,-8.386,1,0.0529,146.813,4
Feel The Vibe (Again),Foul Play,Origins,2020-05-22,262379,19,1WVhOYMnetboL007LBZhRA,0.013,0.752,0.961,0.808,11,0.0725,-7.433,1,0.0727,150.86,4
Terminator,Goldie,Fabio & Grooverider: 25 Years of Drum & Bass,2016-04-27,254090,0,3FuuPyLf9DNNEcUIIStfQ6,0.00207,0.684,0.605,0.732,1,0.0475,-11.545,1,0.131,165.022,4
JITTERBUG,Samurai Breaks,TURBO RAVE ARTILLERY,2021-08-27,297277,7,0FLy2eJ5Fj7zG0d9Vopt7P,0.0147,0.818,0.975,0.799,0,0.08,-2.838,1,0.054,113.33,5
SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),Amaarae,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),2021-09-16,204763,0,15HMh4yxdf4wyxSZSlOgGZ,0.434,0.859,0.525,2.34e-05,1,0.108,-8.051,0,0.0592,110.066,4
潮汐I,Duck Fight Goose,生成,2021-06-12,158561,1,44woLE3tkcuB0s3MVc8RHN,0.388,0.452,0.633,0.0163,2,0.0897,-9.449,0,0.0323,94.012,4
JITTERBUG - COCO BRYCE REMIX,Samurai Breaks,TURBO RAVE ARTILLERY,2021-08-27,388104,11,2I3CuPQbmT2pE1ryXloQHt,0.00871,0.599,0.872,0.796,2,0.381,-5.364,0,0.0609,163.064,4
Luv Ain EZ - LMajor Remix,Coco Bryce,Luv Ain EZ,2021-09-10,357820,12,2p3yvsZfvsFJd7wJXLsMhk,0.0535,0.478,0.834,0.839,10,0.0407,-8.076,0,0.0712,140.067,4
This Way,Skanna,The Skanna Collection Volume One,2009-08-03,363897,24,16hkcMZrDYII0yuFzX2oJz,0.00512,0.566,0.87,0.802,11,0.0436,-11.847,0,0.0584,151.939,4
Active,Novelist,Inferno,2020-01-20,221100,56,4z5WcMruV9ABwG9pJE1GT2,0.282,0.743,0.559,0.0213,10,0.165,-6.834,0,0.0377,139.022,4
160 DOWN THE A406,SHERELLE,160 DOWN THE A406,2021-06-21,362845,30,1uFinqBJvAhyupYVcrUaAl,0.00135,0.507,0.96,0.92,9,0.0848,-6.703,0,0.0592,160.021,4
Push Up - Unreleased Amen Mix,Babylon Cru,Press Up,2019-03-22,327186,15,50exjMRk4g4e6khZCvIMaY,0.0112,0.655,0.885,0.645,11,0.0548,-8.952,0,0.151,160.278,4
Wicked,DJ Dextrous,Da Kings Of The Jungle Part One,1994,327177,0,6WM8fr9iwdzuhIU0MI2IlF,0.0103,0.536,0.979,0.352,1,0.158,-6.291,1,0.121,165.753,4
All the Crew Big Up - 95 Relick,Roni Size,"Retrospect, Vol. 2 (Compiled by Bryan Gee)",2011-05-16,349872,25,6pleTHMJTtkM023z2SZz8H,0.232,0.493,0.998,0.836,0,0.273,-5.158,0,0.168,164.941,4
Uknowhowwedu,Bahamadia,Kollage,1996-04-02,214866,57,5KapB9KJnRsZrprzIAXycW,0.641,0.534,0.596,2.16e-05,6,0.276,-10.289,1,0.388,185.733,4
I am the Creator,Carlton Doom,I am the Creator,2021-08-13,341355,0,5847mikMIZRlqfvTwivVO1,0.376,0.753,0.892,0.823,1,0.123,-6.305,1,0.214,62.002,4
Watering My Plants,Larry June,Adjust To The Game,2020-03-04,135789,57,0LH7ijaQi0ybY6Oe4SCLo1,0.0541,0.572,0.578,1.12e-05,11,0.388,-6.68,0,0.266,76.697,4
Business Is Business (Lil Baby & Gunna),Lil Baby,Drip Harder,2018-10-05,162268,56,7roKDmJDOzkpfGpUQJ5EnL,0.288,0.821,0.636,0.0,7,0.104,-6.038,0,0.0899,142.008,4
Runnin',Wajatta,Casual High Technology,2018-05-11,338417,28,4b6mADxnmXq2bbhJJQx8Ac,0.0406,0.665,0.763,0.273,6,0.147,-6.197,1,0.0623,138.991,4
Heartless,Djata,Heartless,2021-09-17,135153,0,5GYzoVedBKlkmaH4wYZ1Eq,0.423,0.882,0.298,1.95e-06,10,0.108,-15.159,0,0.648,74.004,4
Valentine,Snail Mail,Valentine,2021-09-15,196173,35,21brT2CZwKz8VPCf0nFxiP,0.000713,0.488,0.623,0.0,0,0.131,-4.873,1,0.0317,129.874,4
Who Started Jungle,Denham Audio,To the Core,2018-11-26,240006,28,6n15iBMrAgeAhiCSF0iFUs,0.00512,0.749,0.855,0.449,4,0.267,-9.078,0,0.0736,132.028,4
Single Minded People,Denham Audio,Denham Audio & Friends,2021-04-23,305816,31,2dyOz726bsqXUynaRO1XRd,0.00439,0.79,0.885,0.309,11,0.286,-7.521,0,0.053,135.03,4
It Be's That Way Sometime,Nina Simone,Silk & Soul (Expanded Edition),1967,176106,35,3O02KGbzUvHYa1YkaGyHzK,0.42,0.59,0.852,0.0,9,0.186,-4.092,0,0.113,122.453,4
Bless Me Today,Alan Dixon,Bless Me Today,2019-07-05,240020,20,2e3K3Q7uGccF0rxeVKI3BM,0.0217,0.679,0.982,4.58e-05,8,0.0636,-4.117,1,0.319,118.092,4
soft spot,piri,soft spot,2021-06-04,219529,0,1mtLhZXbQqeU3qugQkuwhk,0.0228,0.647,0.656,0.0212,7,0.148,-7.828,1,0.0536,169.967,4
A Little Bit of Luck,DJ Luck & MC Neat,A Little Bit Of Luck,1999-12-01,349960,52,3stQUVyIkVtY7KbU8OGnEN,0.0871,0.919,0.395,4.53e-06,8,0.0948,-8.73,1,0.355,134.914,4
Body Groove - Radio Edit,Architechs,Rewind Old Skool Classics,2010-01-01,313760,0,7s2aJgp2zEDx4nzjg8Ligd,0.0373,0.904,0.735,4e-06,1,0.247,-6.82,1,0.0593,132.98,4
Beethoven,Kenndog,Beethoven,2021-06-11,144561,4,5V7eE5xpJKbBCnzlO4JSNc,0.149,0.875,0.65,9.48e-06,9,0.106,-8.914,0,0.113,102.971,4
Metropolis Notte,Gabriele Ducros,Freedom Power,1977-03-09,196235,0,6D68xdaG7IKsxqIcQPtpnb,0.0346,0.401,0.615,0.707,1,0.101,-7.731,1,0.0272,147.57,3
