track_name,artist_name,album_name,release_date,length,popularity,id,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature
Jerrod,Solange,When I Get Home,2019-03-01,182106,44,6ZDQdAeTYt13V67K7LJXDv,0.915,0.409,0.253,0.0278,3,0.104,-9.88,0,0.0363,114.023,3
Beltway,Solange,When I Get Home,2019-03-01,101400,52,4q91GjZYQAZWICmRaOu04F,0.921,0.313,0.189,0.694,6,0.114,-17.556,0,0.0471,116.314,4
Exit Scott (interlude),Solange,When I Get Home,2019-03-01,61146,39,0sB95316MVikK4D0BfnirE,0.486,0.39,0.436,0.0,7,0.352,-13.603,1,0.0396,81.967,4
Sound of Rain,Solange,When I Get Home,2019-03-01,185960,49,4o8Rk1YzdkTxsSEXd3YhAK,0.326,0.8,0.526,0.0416,10,0.153,-6.403,0,0.0326,120.0,4
Not Screwed! (interlude),Solange,When I Get Home,2019-03-01,22240,2,1A8y9j0iVvQkjkhLFVrQFO,0.38,0.34,0.436,0.642,0,0.484,-11.62,1,0.15,177.889,1
I'm a Witness,Solange,When I Get Home,2019-03-01,111880,38,5RstG9WNSOaQ2G3ZFimUz1,0.923,0.26,0.29,0.219,7,0.112,-11.413,1,0.0528,181.273,4
Bet (feat. Skepta & Michael Phantom),Octavian,Bet (feat. Skepta & Michael Phantom),2019-02-27,166143,49,1TULEHv0wpIZYI7zqmhzEg,0.00128,0.855,0.594,3.43e-05,8,0.145,-8.652,0,0.489,78.079,4
Uno,Freddie Gibbs,Piñata,2014-03-18,167213,42,272JOgS6zKLtqzdPEcrnA6,6.34e-05,0.543,0.658,0.0217,2,0.371,-10.979,1,0.106,96.083,4
dlp 1.1,William Basinski,The Disintegration Loops (Remastered),2014-09-02,3815786,0,31FiS1jMI38kYfC8ey358W,0.973,0.28,0.0816,0.938,5,0.105,-31.702,1,0.0406,95.38,5
dlp 2.1,William Basinski,The Disintegration Loops (Remastered),2014-09-02,650213,0,0LcZbb31kOV0YkoCUe1aDY,0.945,0.121,0.252,0.85,0,0.0702,-25.248,0,0.0338,72.041,3
BLEACH,BROCKHAMPTON,SATURATION III,2017-12-15,273151,64,0dWOFwdXrbBUYqD9DLsoyK,0.462,0.595,0.657,0.000597,1,0.437,-6.498,0,0.183,156.093,4
Detroit Vs. Everybody,Eminem,SHADYXV,2014-11-24,357386,38,5vZCCUeBhHO4GHHu6zlrzf,0.0706,0.531,0.759,0.0,11,0.318,-7.002,0,0.387,175.89,4
I Guess (feat. Slyte),Ike Offline,Offline,2019-02-19,182044,3,5RACT5m4c2VokGOzKEa3XZ,0.6,0.494,0.909,0.0,7,0.12,-7.154,0,0.463,73.343,4
Babydoll,Dominic Fike,"Don't Forget About Me, Demos",2018-10-16,97960,46,1SocftHhtuqF7k83eUhHiz,0.114,0.762,0.604,0.0,7,0.0271,-5.296,0,0.11,168.007,4
Reminisce,Bilal,1st Born Second,2001-01-01,273200,39,57JKgPzcF9uyKHKVvbznR1,0.0366,0.81,0.634,4.31e-06,7,0.175,-4.464,1,0.194,93.792,4
"Get The Bag (feat. A$AP Rocky, A$AP Ferg, A$AP Ant, A$AP Nast, A$AP TyY, Playboi Carti & Smooky MarGielaa)",A$AP Mob,Cozy Tapes Vol. 2: Too Cozy,2017-08-25,256560,43,2AyyImkxFBEhfPmIe46Ppl,0.0678,0.695,0.502,0.0,8,0.11,-5.389,1,0.279,173.916,3
Treehome95 (feat. Coco O. & Erykah Badu),"Tyler, The Creator",Wolf,2013-04-01,180213,52,2vLwhcsvRd1f2ETft1kWDN,0.217,0.721,0.539,0.00257,11,0.419,-8.726,1,0.362,81.971,4
"Please Shut Up (feat. A$AP Rocky, KEY! & Gucci Mane)",A$AP Mob,Cozy Tapes Vol. 2: Too Cozy,2017-08-25,210333,42,3LyNsopPP3hXf8bZBE7cDk,0.102,0.859,0.424,0.0,10,0.327,-6.155,1,0.27,145.886,4
N Side,Steve Lacy,N Side,2019-04-08,224444,3,18t9EUBOfOPRv4nrJUpRAq,0.072,0.838,0.536,0.000259,2,0.208,-6.288,1,0.0435,119.956,4
Motions,Devvon Terrell,Weird Nights - The Intermission,2018-11-02,153993,0,3NC2ENOezU0wycx46Eco3U,0.0152,0.752,0.465,0.0,6,0.133,-5.899,0,0.0442,110.113,4
Boo'd Up,Ella Mai,READY,2017-02-22,256063,65,0At2qAoaVjIwWNAqrscXli,0.0862,0.561,0.779,0.0,10,0.078,-5.107,0,0.0531,81.965,4
THAT'S THAT,MF DOOM,BORN LIKE THIS,2009-03-23,135066,0,3ZWc3Bm8eUMRRJhSWKHHeV,0.235,0.499,0.728,0.0,8,0.686,-4.922,0,0.385,96.089,4
Guinnesses feat. Angelika & 4ize,MF DOOM,MM...FOOD,2004,281720,0,06JvX7FobdW07Qa81nghOl,0.304,0.512,0.764,0.0,1,0.274,-5.085,0,0.246,165.831,4
I Want Out,Connie Constance,English Rose,2019-03-22,197306,7,0FAsgHx7Eoru0s38ogMmWk,0.278,0.687,0.832,0.0,9,0.151,-4.746,0,0.119,120.055,4
Bloody British Me,Connie Constance,English Rose,2019-03-22,263640,6,05DydTu2g91EHOb8KNato5,0.267,0.493,0.804,0.0,0,0.54,-4.332,1,0.121,88.983,4
Give & Take,Connie Constance,English Rose,2019-03-22,208053,8,0M7syvaQocwIiKyThGA2V2,0.0348,0.557,0.775,0.0,1,0.544,-3.865,0,0.0517,162.92,4
English Rose,Connie Constance,English Rose,2019-03-22,155360,26,5n0yKmzdogMmZ2ZdWe3hFt,0.968,0.371,0.194,1.05e-05,9,0.0917,-12.978,1,0.0318,70.553,3
Fast Cars,Connie Constance,English Rose,2019-03-22,232786,29,5aOl5foqfCFY50lWhaeoym,0.43,0.585,0.631,1.46e-05,8,0.0921,-5.736,1,0.0311,120.869,4
Yesterday,Connie Constance,English Rose,2019-03-22,247760,8,7hY6JM0U6lPVJLe2qub7MV,0.622,0.707,0.494,0.324,11,0.0976,-6.955,1,0.034,120.486,4
Bad Vibes,Connie Constance,English Rose,2019-03-22,202026,8,4RYBX1zxutQxTRkRKYZuV2,0.735,0.441,0.301,0.0,10,0.137,-8.816,1,0.0496,96.626,4
